"Rev2","partial2","Rev31","partial31","Activity"
"6200",1,"7130",1,"Renting of goods to the general public for personal or household use"
"6310",0,"5520",1,"Restaurants, cafes and other eating and drinking places"
"6320",0,"5510",1,"Hotels, rooming houses, camps and other lodging places"
"7111",1,"5510",1,"Sleeping car operation (carried on separately)"
"7111",1,"5520",1,"Dining car operation (carried on separately)"
"7111",1,"6010",0,"Transport via railways"
"7111",1,"6021",1,"Urban and suburban railway transport"
"7111",1,"6303",1,"Terminals and other railway transport supporting service activities, except switching"
"7112",1,"5020",1,"Maintenance facilities for road transport"
"7112",1,"6021",1,"Scheduled highway passenger transport"
"7112",1,"6303",1,"Terminals; maintenance facilities for road vehicles"
"7113",1,"6021",1,"Other scheduled passenger land transport"
"7113",1,"6022",0,"Other non-scheduled passenger land transport"
"7114",1,"6023",0,"Freight transport by road"
"7114",1,"6303",1,"Terminals for freight transport by road"
"7114",1,"6412",1,"Courier activities other than national post activities, by road"
"7115",0,"6030",0,"Transport via pipelines"
"7116",1,"6301",1,"Cargo handling for land transport"
"7116",1,"6303",1,"Other supporting transport activities for land transport n.e.c."
"7116",1,"7111",1,"Renting (without operator) of land transport equipment"
"7121",0,"6110",0,"Sea and coastal water transport"
"7122",1,"6120",0,"Inland water transport"
"7122",1,"6303",1,"Other supporting activities for inland water transport"
"7123",1,"6301",1,"Cargo handling for water transport"
"7123",1,"6303",1,"Other supporting activities for water transport"
"7123",1,"6309",1,"Activities of steamship agencies"
"7123",1,"7112",0,"Renting of water transport equipment (without operator)"
"7131",1,"6210",0,"Scheduled air transport"
"7131",1,"6220",0,"Non-scheduled air transport"
"7131",1,"6412",1,"Courier activities other than national post activities, by air"
"7132",1,"6301",1,"Cargo handling for air transport"
"7132",1,"6303",1,"Other supporting activities for air transport"
"7132",1,"6420",1,"Radio beacon and radar station operation"
"7132",1,"7113",0,"Renting of air transport equipment (without operator)"
"7191",1,"6303",1,"Other supporting transport activities, except steamship agencies"
"7191",1,"6304",1,"Activities of travel agencies and tour operators"
"7191",1,"6309",1,"Activities of other transport agencies"
"7191",1,"6412",1,"Courier activities, with public transport"
"7192",0,"6302",0,"Storage and warehousing"
"7200",1,"6411",0,"National post activities"
"7200",1,"6420",1,"Other telecommunications n.e.c."
"7200",1,"7499",1,"Telephone answering activities"
"8101",1,"6511",0,"Central banking"
"8101",1,"6519",1,"Monetary intermediation of commercial and other banks"
"8102",1,"6519",1,"Monetary intermediation of commercial and other banks"
"8102",1,"6591",0,"Financial leasing"
"8102",1,"6592",0,"Other credit granting"
"8102",1,"6599",1,"Financial intermediation by credit institutions other than banks n.e.c."
"8102",1,"6712",0,"Security dealing activities"
"8102",1,"6719",1,"Activities auxiliary to financial intermediation n.e.c."
"8103",1,"6599",1,"Distributing funds other than by making loans"
"8103",1,"6711",0,"Administration of financial markets"
"8103",1,"6719",1,"Activities auxiliary to financial intermediation n.e.c."
"8200",1,"6601",0,"Life insurance"
"8200",1,"6602",0,"Pension funding"
"8200",1,"6603",0,"Non-life insurance"
"8200",1,"6720",0,"Activities auxiliary to insurance and pension funding"
"8310",1,"4520",1,"Real estate development"
"8310",1,"7010",0,"Real estate activities with own or leased property"
"8310",1,"7020",0,"Real estate activities on a fee or contract basis"
"8321",0,"7411",0,"Legal activities"
"8322",0,"7412",0,"Accounting, book-keeping and auditing activities; tax consultancy"
"8323",1,"7210",0,"Hardware consultancy"
"8323",1,"7221",0,"Software publishing"
"8323",1,"7229",0,"Software consultancy and supply, except software publishing"
"8323",1,"7230",0,"Data processing"
"8323",1,"7240",0,"Data base activities"
"8323",1,"7290",0,"Other computer related activities"
"8324",1,"7310",1,"Research and experimental development on natural sciences and engineering"
"8324",1,"7421",1,"Architectural and engineering activities and related technical consultancy"
"8324",1,"7422",1,"Technical testing and analysis"
"8325",1,"7413",0,"Market research and public opinion polling"
"8325",1,"7430",1,"Advertising n.e.c."
"8325",1,"7499",1,"Mail advertising"
"8329",1,"0140",1,"Activities of farm labour contractors"
"8329",1,"7320",1,"Economic research, non commercial"
"8329",1,"7414",1,"Business and management consultancy n.e.c."
"8329",1,"7430",1,"Publishers representatives"
"8329",1,"7491",0,"Labour recruitment and provision of personnel other than farm labour contractors"
"8329",1,"7492",0,"Investigation and security activities"
"8329",1,"7495",0,"Packaging activities"
"8329",1,"7499",1,"Bill collecting, credit rating, direct mailing, photocopying and duplicating and other business activities n.e.c."
"8329",1,"9220",0,"News agency activities"
"8329",1,"9309",1,"Issuing license plates by private contractors"
"8330",1,"7121",0,"Renting of agricultural machinery and equipment"
"8330",1,"7122",0,"Renting of construction and civil engineering machinery and equipment"
"8330",1,"7123",0,"Renting of office machinery and and equipment (including computers)"
"8330",1,"7129",0,"Renting of other machinery and equipment n.e.c."
"8330",1,"7130",1,"Renting of office furniture"
"9100",1,"7511",0,"General (Over-all) public service activities"
"9100",1,"7512",0,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security"
"9100",1,"7513",0,"Regulation of and contribution to more efficient operation of business"
"9100",1,"7514",0,"Ancillary service activities for the Government as a whole"
"9100",1,"7521",0,"Foreign affairs"
"9100",1,"7522",0,"Defence activities"
"9100",1,"7523",0,"Public order and safety activities"
"9100",1,"7530",0,"Compulsory social security activities"
"9200",1,"7493",1,"Building-cleaning activities"
"9200",1,"9000",0,"Sewage and refuse disposal, sanitation and similar activities"
"9310",1,"8010",0,"Primary education"
"9310",1,"8021",0,"General secondary education"
"9310",1,"8022",0,"Technical and vocational secondary education"
"9310",1,"8030",0,"Higher education"
"9310",1,"8090",1,"Other education n.e.c."
"9310",1,"8532",1,"Job training and vocational rehabilitation"
"9310",1,"9219",1,"Dance instruction"
"9320",1,"7310",1,"Basic and general research in the biological, medical and physical sciences"
"9320",1,"7320",1,"Research and experimental development on social sciences and humanities"
"9331",1,"3311",1,"Manufacture of prosthetic appliances, artificial teeth made to order"
"9331",1,"8511",0,"Hospital activities"
"9331",1,"8512",0,"Medical and dental practice activities"
"9331",1,"8519",0,"Other human health activities"
"9332",1,"0140",1,"Animal grooming and boarding, farm animals"
"9332",1,"8520",0,"Veterinary activities"
"9332",1,"9309",1,"Pet grooming and boarding"
"9340",1,"5520",1,"Meals-on-wheels services"
"9340",1,"8531",0,"Social work with accommodation"
"9340",1,"8532",1,"Social work without accommodation"
"9350",1,"9111",0,"Activities of business and employers' organizations"
"9350",1,"9112",0,"Activities of professional organizations"
"9350",1,"9120",0,"Activities of trade unions"
"9391",0,"9191",0,"Activities of religious organizations"
"9399",1,"9192",0,"Activities of political organizations"
"9399",1,"9199",0,"Activities of other membership organizations n.e.c."
"9411",1,"2230",1,"Film and video reproduction"
"9411",1,"9211",1,"Motion picture and video production"
"9411",1,"9249",1,"Casting activities, motion pictures"
"9412",1,"7130",1,"Renting of video tapes"
"9412",1,"9211",1,"Motion picture and video distribution"
"9412",1,"9212",0,"Motion picture projection"
"9413",1,"6420",1,"Radio and television programme transmission, on a fee or contract basis"
"9413",1,"9213",0,"Production of radio and television programmes, whether or not combined with broadcasting"
"9414",1,"7130",1,"Renting of theatrical equipment"
"9414",1,"7499",1,"Agency activities for engagements in entertainment or sport attractions"
"9414",1,"9211",1,"Sound recording studios"
"9414",1,"9214",1,"Production of theatrical presentations"
"9414",1,"9219",1,"Other entertainment activities n.e.c."
"9414",1,"9249",1,"Casting or booking agencyactivities"
"9415",0,"9214",1,"Activities by authors, music composers, and other independent artists n.e.c."
"9420",1,"9231",0,"Library and archives activities"
"9420",1,"9232",0,"Museums activities and preservation of historical sites and buildings"
"9420",1,"9233",0,"Botanical and zoological gardens and nature reserves activities"
"9490",1,"0140",1,"Training of horses and other animal specialties, excluding racing and pets"
"9490",1,"7111",1,"Renting of motorcycles"
"9490",1,"7130",1,"Renting of recreational goods n.e.c. (e.g. bicycles, saddle-horses, pleasure craft, sports equipment)"
"9490",1,"9219",1,"Operation of ballrooms, discotheques, amusement parks and similar attractions"
"9490",1,"9241",0,"Sporting activities"
"9490",1,"9249",1,"Other amusement and recreational service activities n.e.c."
"9490",1,"9309",1,"Training of pets"
"9511",0,"5260",1,"Repair of personal and household goods"
"9512",1,"4530",1,"Installing electrical equipment in homes"
"9512",1,"5260",1,"Electrical repair"
"9513",1,"5020",1,"Maintenance and repair of motor vehicles"
"9513",1,"5040",1,"Repair of motorcycles and related parts"
"9514",0,"5260",1,"Watch, clock and jewellery repair"
"9519",1,"5040",1,"Maintenance and repair of snowmobiles"
"9519",1,"5260",1,"Other repair n.e.c."
"9519",1,"7250",1,"Repair of typewriters"
"9520",1,"5260",1,"Alteration and repair of made-up personal and household textiles"
"9520",1,"9301",0,"Washing and (dry-) cleaning of textile and fur products"
"9530",0,"9500",0,"Private households with employed persons"
"9591",1,"8090",1,"Activities of barber and beauty schools"
"9591",1,"9302",0,"Hairdressing and other beauty treatment"
"9592",0,"7494",0,"Photographic activities"
"9599",1,"6304",1,"Tourist assistance activities n.e.c."
"9599",1,"7493",1,"Janitorial activities"
"9599",1,"9303",0,"Funeral and related activities"
"9599",1,"9309",1,"Other personal service activities n.e.c."
"9600",0,"9900",0,"Extra-territorial organizations and bodies"
"n/a",0,"9600",0,"Undifferentiated goods-producing activities of private households for own use"
"n/a",0,"9700",0,"Undifferentiated service-producing activities of private households for own use"
